Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Std. Dev.
192.168.232.71_7121,100,3819,2869,8035,9355,11187,1553,12896,7.00%,3.7,2.1,2445.17
TOTAL,100,3819,2869,8035,9355,11187,1553,12896,7.00%,3.7,2.1,2445.17
